Nom et prénom;Mission;Groupe;H/F;Indemnité
ACHIBA Salim;Conseiller métropolitain;MCU;H;1089.03
AUGER Marie-Françoise;Conseiller métropolitain;GIDEC;F;1089.03
BAILLOT Frédéric;Conseiller métropolitain;SRCP;H;1089.03
BALY Stéphane;Conseiller métropolitain;EUROPE ECOLOGIE-LES VERTS;H;1089.03
CAUCHE Régis;Conseiller métropolitain délégué;GIDEC;H;1312.67
DALEUX Lise;Conseiller métropolitain;EUROPE ECOLOGIE-LES VERTS;F;1089.03
DEBREU Bernard;Vice-President métropolitain;CRC;H;1769.68
DELEPAUL Michel;Conseiller métropolitain délégué;MPC;H;1312.67
DELRUE Francis;Vice-President métropolitain;GIDEC;H;1769.68
DENOEUD Eric;Conseiller métropolitain;MCU;H;1089.03
DE SAINTIGNON Pierre;Conseiller métropolitain;SRCP;H;1089.03
DETERPIGNY Nicolas;Conseiller métropolitain;MPC;H;1089.03
DHALLUIN Benoit;Conseiller métropolitain;MPC;H;1089.03
DUQUENNE Aimé;Conseiller métropolitain;MPC;H;1089.03
FABER Vinciane;Conseiller métropolitain;EUROPE ECOLOGIE-LES VERTS;F;1089.03
FREMAUX Jean Louis;Conseiller métropolitain délégué;SRCP;H;1312.67
GAUTIER Antony;Conseiller métropolitain;SRCP;H;1089.03
GEENENS Patrick;Vice-President métropolitain;SRCP;H;1769.68
HANNA Walid;Conseiller métropolitain;SRCP;H;1089.03
HAYART Daniel;Conseiller métropolitain;SRCP;H;1089.03
HUTCHINSON Yvan;Conseiller métropolitain;MPC;H;1089.03
LEFEBVRE Joseph;Conseiller métropolitain;NON INSCRITS;H;1089.03
MASSON Jean-Gabriel;Conseiller métropolitain;MPC;H;1089.03
MINARD Frédéric;Conseiller métropolitain;MCU;H;1089.03
OYEZ Emmanuel;Conseiller métropolitain;MCU;H;1089.03
PAU André;Conseiller métropolitain;MPC;H;1089.03
PLANCKE Ghislain;Conseiller métropolitain;GIDEC;H;1089.03
PLOUY Michel;Conseiller métropolitain;GIDEC;H;1089.03
RINGOTTE Marie Christine;Conseiller métropolitain;SRCP;F;1089.03
SEELS Frederique;Vice-President métropolitain;MPC;F;1769.68
SOINNE Caroline;Conseiller métropolitain;MPC;F;1089.03
TONNERRE Marie;Conseiller métropolitain;MCU;F;1089.03
VERDONCK Sylvane;Conseiller métropolitain;MPC;F;1089.03
VEROONE Jean-Jacques;Conseiller métropolitain;GIDEC;H;1089.03
WOLFCARIUS Loïc;Conseiller métropolitain;MPC;H;1089.03
ALA Milouda;Conseiller métropolitain;MCU;F;1089.03
BORREWATER Michel;Conseiller métropolitain;MPC;H;1089.03
CAMBIEN Alain;Conseiller métropolitain délégué;MPC;H;1312.67
CATTELIN DENU Eric;Conseiller métropolitain;NON INSCRITS;H;1089.03
COLIN Michel;Vice-President métropolitain;MPC;H;1769.68
CORBILLON Matthieu;Conseiller métropolitain délégué;MPC;H;1312.67
CREPEL Jérémie;Conseiller métropolitain;EUROPE ECOLOGIE-LES VERTS;H;1089.03
DARMANIN Gérald;Vice-President métropolitain;MCU;H;0.0
